MIB Module,Object Name,OID,Kind,Syntax,Access,Description
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslInvEquipmentCode,1.3.6.1.2.1.10.48.1.3.1.10,column,OCTET STRING(SIZE(10)),read-only,"Equipment code conforming to ANSI T1.213, Coded Identification of Equipment Entities."
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslInvVendorOther,1.3.6.1.2.1.10.48.1.3.1.11,column,OCTET STRING(SIZE(12)),read-only,Other vendor information as reported in an Inventory Response message.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslInvTransmissionModeCapability,1.3.6.1.2.1.10.48.1.3.1.12,column,Hdsl2ShdslTransmissionModeType,read-only,Contains the transmission mode capability of the SHDSL unit.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointSide,1.3.6.1.2.1.10.48.1.4.1.1,column,Hdsl2ShdslUnitSide,not-accessible,The side of the unit associated with this segment endpoint -- Network/Customer side -- as per the Hdsl2ShdslUnitSide textual convention.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointWirePair,1.3.6.1.2.1.10.48.1.4.1.2,column,Hdsl2ShdslWirePair,not-accessible,The wire pair of the modem associated with this segment endpoint as per the Hdsl2ShdslWirePair textual convention.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointAlarmConfProfile,1.3.6.1.2.1.10.48.1.4.1.3,column,SnmpAdminString (SIZE(0..32)),read-write,This object configures the alarm threshold values to be used for this segment endpoint. The values are obtained from the alarm configuration profile r
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurrAtn,1.3.6.1.2.1.10.48.1.5.1.1,column,Integer32(-127..128),read-only,The current loop attenuation for this endpoint as reported in a Network or Customer Side Performance Status message.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurrSnrMgn,1.3.6.1.2.1.10.48.1.5.1.2,column,Integer32(-127..128),read-only,The current SNR margin for this endpoint as reported in a Status Response/SNR message.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurrStatus,1.3.6.1.2.1.10.48.1.5.1.3,column,"BITS { noDefect(0), powerBackoff(1), deviceFault(2), dcContinuityFault(3), snrMa",read-only,Contains the current state of the endpoint. This is a bit-map of possible conditions. The various bit positions are as follows: noDefect There are no 
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointES,1.3.6.1.2.1.10.48.1.5.1.4,column,Counter32,read-only,Count of Errored Seconds (ES) on this endpoint since the xU was last restarted.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointSES,1.3.6.1.2.1.10.48.1.5.1.5,column,Counter32,read-only,Count of Severely Errored Seconds (SES) on this endpoint since the xU was last restarted.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCRCanomalies,1.3.6.1.2.1.10.48.1.5.1.6,column,Counter32,read-only,Count of CRC anomalies on this endpoint since the xU was last restarted.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointLOSWS,1.3.6.1.2.1.10.48.1.5.1.7,column,Counter32,read-only,Count of Loss of Sync Word (LOSW) Seconds on this endpoint since the xU was last restarted.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointUAS,1.3.6.1.2.1.10.48.1.5.1.8,column,Counter32,read-only,Count of Unavailable Seconds (UAS) on this endpoint since the xU was last restarted.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr15MinTimeElapsed,1.3.6.1.2.1.10.48.1.5.1.9,column,Hdsl2ShdslPerfTimeElapsed,read-only,Total elapsed seconds in the current 15-minute interval.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr15MinES,1.3.6.1.2.1.10.48.1.5.1.10,column,PerfCurrentCount,read-only,Count of Errored Seconds (ES) in the current 15-minute interval.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr15MinSES,1.3.6.1.2.1.10.48.1.5.1.11,column,PerfCurrentCount,read-only,Count of Severely Errored Seconds (SES) in the current 15-minute interval.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr15MinCRCanomalies,1.3.6.1.2.1.10.48.1.5.1.12,column,PerfCurrentCount,read-only,Count of CRC anomalies in the current 15-minute interval.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr15MinLOSWS,1.3.6.1.2.1.10.48.1.5.1.13,column,PerfCurrentCount,read-only,Count of Loss of Sync Word (LOSW) Seconds in the current 15-minute interval.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr15MinUAS,1.3.6.1.2.1.10.48.1.5.1.14,column,PerfCurrentCount,read-only,Count of Unavailable Seconds (UAS) in the current 15-minute interval.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr1DayTimeElapsed,1.3.6.1.2.1.10.48.1.5.1.15,column,Hdsl2ShdslPerfTimeElapsed,read-only,Number of seconds that have elapsed since the beginning of the current 1-day interval.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr1DayES,1.3.6.1.2.1.10.48.1.5.1.16,column,Hdsl2ShdslPerfCurrDayCount,read-only,Count of Errored Seconds (ES) during the current day as measured by hdsl2ShdslEndpointCurr1DayTimeElapsed.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr1DaySES,1.3.6.1.2.1.10.48.1.5.1.17,column,Hdsl2ShdslPerfCurrDayCount,read-only,Count of Severely Errored Seconds (SES) during the current day as measured by hdsl2ShdslEndpointCurr1DayTimeElapsed.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr1DayCRCanomalies,1.3.6.1.2.1.10.48.1.5.1.18,column,Hdsl2ShdslPerfCurrDayCount,read-only,Count of CRC anomalies during the current day as measured by hdsl2ShdslEndpointCurr1DayTimeElapsed.
HDSL2-SHDSL-LINE-MIB,hdsl2ShdslEndpointCurr1DayLOSWS,1.3.6.1.2.1.10.48.1.5.1.19,column,Hdsl2ShdslPerfCurrDayCount,read-only,Count of Loss of Sync Word (LOSW) Seconds during the current day as measured by hdsl2ShdslEndpointCurr1DayTimeElapsed.
