MIB Module,Object Name,OID,Kind,Syntax,Access,Description
ACTELIS-SERV-MON-MIB,flFlrELinePrev15minIntervalValidity,1.3.6.1.4.1.5468.4.1.4.2.1.10,column,IntervalValidity,read-only,"Interval validity valid values are: other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is accumulated over some portion of the time period."
ACTELIS-SERV-MON-MIB,flFlrELinePrev15minFLIngress,1.3.6.1.4.1.5468.4.1.4.2.1.11,column,Counter32,read-only,Frame Loss on NEND or Ingress (MEP RX direction quality) measurement provided in frames. Counted for 15-min previous interval.
ACTELIS-SERV-MON-MIB,flFlrELinePrev15minFLEgress,1.3.6.1.4.1.5468.4.1.4.2.1.12,column,Counter32,read-only,Frame Loss on FEND or Egress (MEP TX direction quality) measurement provided in frames. Counted for 15-min previous interval.
ACTELIS-SERV-MON-MIB,flFlrELinePrev15minFLRIngress,1.3.6.1.4.1.5468.4.1.4.2.1.13,column,Unsigned32,read-only,"Frame Loss Ratio on NEND or Ingress (MEP RX direction quality) measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio. Counted for 15-min previous interval."
ACTELIS-SERV-MON-MIB,flFlrELinePrev15minFLREgress,1.3.6.1.4.1.5468.4.1.4.2.1.14,column,Unsigned32,read-only,"Frame Loss Ratio on FEND (MEP TX direction quality) measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio. Counted for 15-min previous interval."
ACTELIS-SERV-MON-MIB,flFlrELAN1DayRmepIndex,1.3.6.1.4.1.5468.4.1.5.1.1.1,column,,not-accessible,Index of RMEP.
ACTELIS-SERV-MON-MIB,flFlrELAN1DayMEPID,1.3.6.1.4.1.5468.4.1.5.1.1.2,column,Dot1agCfmMepId,read-only,This parameter uniquely identifies the MEP in it's MEG.
ACTELIS-SERV-MON-MIB,flFlrELAN1DayPortID,1.3.6.1.4.1.5468.4.1.5.1.1.3,column,InterfaceIndex,read-only,An unique value of port interface on which MEP is reported. It is an index from IfTable for ETH-x or HSL-x ports. Note: Multiple MEPs may be applied on the same port.
ACTELIS-SERV-MON-MIB,flFlrELAN1DayRmepIDX,1.3.6.1.4.1.5468.4.1.5.1.1.4,column,Unsigned32,read-only,This index uniquely (relatively to the MEP) identifies the Remote Peer. RMEP index is provided for the RMEP configured with FD or FL MONITOR=Y.
ACTELIS-SERV-MON-MIB,flFlrELANCurr1DayIntervalStart,1.3.6.1.4.1.5468.4.1.5.1.1.5,column,DateAndTime,read-only,This attribute specifies timestampt of current interval start for measurements done: FL and FLR.
ACTELIS-SERV-MON-MIB,flFlrELANCurr1DayIntervalValidity,1.3.6.1.4.1.5468.4.1.5.1.1.6,column,IntervalValidity,read-only,"Interval validity other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is accumulated over some portion of the time period."
ACTELIS-SERV-MON-MIB,flFlrELANCurr1DayFL,1.3.6.1.4.1.5468.4.1.5.1.1.7,column,Counter32,read-only,Frame Loss measurement provided in frames.
ACTELIS-SERV-MON-MIB,flFlrELANCurr1DayFLR,1.3.6.1.4.1.5468.4.1.5.1.1.8,column,Unsigned32,read-only,"Frame Loss Ratio measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio."
ACTELIS-SERV-MON-MIB,flFlrELANPrev1DayIntervalStop,1.3.6.1.4.1.5468.4.1.5.1.1.9,column,DateAndTime,read-only,This attribute specifies timestamp of history interval stop for measurements done: FL and FLR.
ACTELIS-SERV-MON-MIB,flFlrELANPrev1DayIntervalValidity,1.3.6.1.4.1.5468.4.1.5.1.1.10,column,IntervalValidity,read-only,"Interval validity valid values are: other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is accumulated over some portion of the time period."
