device_type,mib_module,object_name,oid,kind,data_type,textual_convention,unit,unit_source,access,configurable,table_index,nsp_attribute_name,description
dsl-modem,ML620R-MIB,extendMode,1.3.6.1.4.1.5468.510.2.1.9,scalar,enum,,,,read-write,yes,no,extendMode,Description.
dsl-modem,ML620R-MIB,extendRate,1.3.6.1.4.1.5468.510.2.1.10,scalar,integer,,,,read-write,yes,no,extendRate,unit is 8kbps
dsl-modem,ML620R-MIB,portIndex,1.3.6.1.4.1.5468.510.2.2.1.1,column,integer,,,,read-only,no,no,portIndex,Description.
dsl-modem,ML620R-MIB,speed,1.3.6.1.4.1.5468.510.2.2.1.2,column,enum,,,,read-write,yes,no,speed,Description.
dsl-modem,ML620R-MIB,duplex,1.3.6.1.4.1.5468.510.2.2.1.3,column,enum,,,,read-write,yes,no,duplex,Description.
dsl-modem,ML620R-MIB,flowControl,1.3.6.1.4.1.5468.510.2.2.1.4,column,enum,,,,read-write,yes,no,flowControl,Description.
dsl-modem,ML620R-MIB,maximumFrameSize,1.3.6.1.4.1.5468.510.2.2.1.5,column,integer,,,,read-write,yes,no,maximumFrameSize,Description.
dsl-modem,ML620R-MIB,portStatus,1.3.6.1.4.1.5468.510.2.2.1.6,column,enum,,,,read-only,no,no,portStatus,Description.
dsl-modem,ML620R-MIB,sPortId,1.3.6.1.4.1.5468.510.2.3,scalar,integer,,,,read-write,yes,no,sPortId,Description. This is Global VLAN Configuration Ethertype for Custom S-ports
dsl-modem,ML620R-MIB,valnIndex,1.3.6.1.4.1.5468.510.2.4.1.1,column,enum,,,,read-only,no,no,valnIndex,Description.
dsl-modem,ML620R-MIB,portType,1.3.6.1.4.1.5468.510.2.4.1.2,column,enum,,,,read-write,yes,no,portType,Description.
dsl-modem,ML620R-MIB,portVlan,1.3.6.1.4.1.5468.510.2.4.1.3,column,integer,,,,read-write,yes,no,portVlan,Description.
dsl-modem,ML620R-MIB,ingressAcceptance,1.3.6.1.4.1.5468.510.2.4.1.4,column,enum,,,,read-write,yes,no,ingressAcceptance,Description.
dsl-modem,ML620R-MIB,allowedVlans,1.3.6.1.4.1.5468.510.2.4.1.5,column,string,,,,read-write,yes,no,allowedVlans,Description.
dsl-modem,ML620R-MIB,vlanmode,1.3.6.1.4.1.5468.510.2.4.1.6,column,enum,,,,read-write,yes,no,vlanmode,Description.
dsl-modem,ML620R-MIB,addDhcpVlanRange,1.3.6.1.4.1.5468.510.2.5.1,scalar,string,,,,read-write,yes,no,addDhcpVlanRange,Description: if you want to set 1-21 and 33-35 and 37-37 you must set three times: 1-21 33-35 37-37
dsl-modem,ML620R-MIB,deleteDhcpVlanRange,1.3.6.1.4.1.5468.510.2.5.2,scalar,string,,,,read-write,yes,no,deleteDhcpVlanRange,Description. similiar to add cmd.
dsl-modem,ML620R-MIB,dhcpServerModeConfiguration,1.3.6.1.4.1.5468.510.2.5.3,scalar,string,,,,read-only,no,no,dhcpServerModeConfiguration,Description.
dsl-modem,ML620R-MIB,excludedIndex,1.3.6.1.4.1.5468.510.2.5.4.1.1,column,integer,,,,read-only,no,no,excludedIndex,Description.
dsl-modem,ML620R-MIB,lowIPAddress,1.3.6.1.4.1.5468.510.2.5.4.1.2,column,ipv4-address,,,,read-write,yes,no,lowIPAddress,Description.
dsl-modem,ML620R-MIB,highIPAddress,1.3.6.1.4.1.5468.510.2.5.4.1.3,column,ipv4-address,,,,read-write,yes,no,highIPAddress,Description.
dsl-modem,ML620R-MIB,excludeIPActive,1.3.6.1.4.1.5468.510.2.5.4.1.4,column,enum,,,,read-write,yes,no,excludeIPActive,Description.
dsl-modem,ML620R-MIB,excludeStatus,1.3.6.1.4.1.5468.510.2.5.4.1.5,column,enum,,,,read-write,yes,no,excludeStatus,Description.
dsl-modem,ML620R-MIB,dhcpPoolIndex,1.3.6.1.4.1.5468.510.2.5.5.1.1,column,integer,,,,read-only,no,no,dhcpPoolIndex,Description.
